aut_principal,pseudo,viaf,titulo,Lengua fuente,Lengua,ISBN,Ciudad de publicación,Ente editor,Año de publicación,Traductor/a,Observaciones
"Barton, Bruce",No hay datos,http://viaf.org/viaf/70062948,Un hombre desconocido / Bruce Barton; traducción Isabel Pérez de Calvete,eng,Inglés,No hay datos,San Carlos,Movimiento Cultural Carolino,2010,"Pérez, Isabel",Se rectificó autoría./ Se añadió dato traductor. Fuente: BN campo Título y campo Valor”. 
"Littleton, Sue",No hay datos,http://viaf.org/viaf/56216757,La última piedra = The last stone / Sue Littleton,eng,Inglés,9789974681491,Montevideo,Botella al Mar,2010,No hay datos,Obra bilingüe.
"Shakespeare, William",No hay datos,http://viaf.org/viaf/96994048,Sueño de una noche de verano / prólogo y glosario Leonardo Garet,eng,Inglés,9789974694194,Montevideo,Santander,2010,No hay datos,No hay datos
"Doyle, Arthur Conan",No hay datos,http://viaf.org/viaf/65283845,El vampiro de Sussex y otros cuentos de Sherlock Holmes,eng,Inglés,9789974106444,Montevideo,Ediciones de Banda Oriental,2010,No hay datos,Es antología. 
"Dostoievski, Fedor Mijailovich","Dostoyevsky, Fyodor",http://viaf.org/viaf/104023256,Cuentos,rus,Ruso,97899875665866,Montevideo,Siruela,2010,"Martinova, Bela",Se recuperó lengua fuente (ruso)./ Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo. 
"Kafka, Franz",No hay datos,http://viaf.org/viaf/56611857,La metamorfosis ; la muralla china y otros relatos,ger,Alemán,9789974824300,Montevideo,Ediciones Cruz del Sur,2010,No hay datos,Es antología./ Se recuperó lengua fuente (alemán).
"Grisham, John",No hay datos,http://viaf.org/viaf/7449742,Causa justa,eng,Inglés,9789785664937,Montevideo,Debolsillo,2010,"Menini, María Antonia",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Voltaire, Francois Marie Arouet de","Arouet, François-Marie",http://viaf.org/viaf/36925746,Cándido,fre,Francés,9789974106529,Montevideo,Ediciones de Banda Oriental,2010,"Percovich, Alfredo",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Connelly, Michael",No hay datos,http://viaf.org/viaf/19745715,El observatorio,eng,Inglés,9788496940796,Montevideo,Roca Bolsillo,2010,"Guerrero, Javier",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Hesse, Hermann",No hay datos,http://viaf.org/viaf/41841418,Siddharta,ger,Alemán,9789974824379,Montevideo,Ediciones Cruz del Sur,2010,No hay datos,No hay datos
"Laurie, Hugh",No hay datos,http://viaf.org/viaf/79174873,El vendedor de armas,eng,Inglés,9789974685321,Montevideo,Planeta,2010,"Cosarelli, Alberto",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Cather, Willa",No hay datos,http://viaf.org/viaf/2480701,Una dama perdida : novela,eng,Inglés,9789974106567,Montevideo,Ediciones de Banda Oriental,2010,No hay datos,No hay datos
"Hurley, Tonya",No hay datos,http://viaf.org/viaf/17457452,Ghostgirl,eng,Inglés,9789974953888,Montevideo,Alfaguara,2010,"Frieyro, Alicia",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Saramago, José",No hay datos,http://viaf.org/viaf/114473675,Ensayo sobre la ceguera,por,Portugués,9789974953895,Montevideo,Punto de lectura,2010,"Losada, Basilio",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo./ Fuente del dato Ciudad no oficial
"Faust, Christa",No hay datos,http://viaf.org/viaf/3960149068576465730002,A la cara,eng,Inglés,9789974825697,Montevideo,Punto Cero,2010,No hay datos,Fuente del dato Ciudad no oficial.
"Yourcenar, Marguerite",No hay datos,http://viaf.org/viaf/105154898,Cuentos completos,fre,Francés,9789780416364,Montevideo,Alfaguara,2010,"Calatayud, Emma|Prieto-Barral, María Fortunata",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo./ Fuente del dato Ciudad no oficial.
"Walls, Jeannette",No hay datos,http://viaf.org/viaf/33089798,El castillo de cristal,eng,Inglés,9789974954151,Montevideo,Punto de lectura,2010,"Usabiaga, Pablo",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Katzenbach, John",No hay datos,http://viaf.org/viaf/86864908,Un asunto pendiente,eng,Inglés,9789974954250,Montevideo,Punto de lectura,2010,"Vidal, Laura",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Saramago, José",No hay datos,http://viaf.org/viaf/114473675,El Evangelio según Jesucristo,por,Portugués,9789974954168,Montevideo,Punto de lectura,2010,"Losada, Basilio",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo./ Fuente del dato Ciudad no oficial
"Gilbert, Elizabeth",No hay datos,http://viaf.org/viaf/7713013,Come reza ama: una mujer a la búsqueda del deseado equilibrio entre el cuerpo y espíritu,eng,Inglés,9789974954083,Montevideo,Punto de lectura,2010,"Bustelo, Gabriela",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Rajchman, Chil",No hay datos,http://viaf.org/viaf/85948781,Shh!,yid,Yiddish,No hay datos,Montevideo,No hay datos,2010,No hay datos,Se recuperó lengua fuente (yiddish)./ Fuente del dato Ciudad no oficial.
"Henrique, Marlene",No hay datos,http://viaf.org/viaf/6153288219432650936,"Nenhum Caminho, Nenhum Lugar = Ningún Camino, Ningún Lugar",por,Portugués,9789974825437,Montevideo,aBrace,2010,No hay datos,Obra bilingüe. 
No hay datos,No hay datos,No hay datos,Cuentos / contos en / em 2 minutos,por|ita,Portugués|Italiano,9789974822474,Montevideo,aBrace,2010,No hay datos,Es antología e incluye textos originalmente escritos en español./ Se rectificó lengua fuente de alemán a portugués e italiano.
"Meyer, Stephenie",No hay datos,http://viaf.org/viaf/102313919,La segunda vida de Bree Tanner / Stephenie Meyer ; traducción de Julio Hermoso,eng,Inglés,9789974953802,Montevideo,Alfaguara,2010,"Hermoso, Julio",Se añadió dato traductor. Fuente: BN campo Título y catálogo de la Biblioteca del Poder Legislativo.
"Larsson, Asa",No hay datos,http://viaf.org/viaf/120633143,Aurora boreal / Asa Larsson ; traducción del sueco por Pontus Sánchez Giménez y Mayte Giménez,Sueco,Sueco,9789974685239,Montevideo,Planeta,2010,"Sánchez Giménez, Pontus|Giménez, Mayte",Se recuperó lengua fuente (sueco)./ Se añadió dato traductor. Fuente: BN campo Título.
"Azevedo, Aluísio",No hay datos,http://viaf.org/viaf/64001128,"El maderero y otros cuentos / Aluísio Azevedo ; antología, prólogo, traducción y notas Pablo Rocca ; revisión Heber Raviolo",por,Portugués,97899741066628,Montevideo,Ediciones de Banda Oriental,2010,"Rocca, Pablo",Es antología./ Se añadió dato traductor. Fuente: BN campo Título.
"Austen, Jane",No hay datos,http://viaf.org/viaf/102333412,Lady Susan : novela / Jane Austen ; traducción y prólogo de Eduardo Berti,eng,Inglés,9789974106376,Montevideo,Ediciones de Banda Oriental,2010,"Berti, Eduardo",Se añadió dato traductor. Fuente: BN campo Título.
"Tomasi di Lampedusa, Giuseppe",No hay datos,http://viaf.org/viaf/88710059,El gatopardo : novela / Giuseppe Tomasi di Lampedusa ; prólogo de Rafael Varela,ita,Italiano,9789974106666,Montevideo,Ediciones de Banda Oriental,2010,No hay datos,No hay datos
"Stevenson, Robert Louis",No hay datos,http://viaf.org/viaf/95207986,El extraño caso del Dr. Jekyll y Mr. Hyde : novela / R. L. Stevenson ; prólogo de Valentín Trujillo,eng,Inglés,9789974106338,Montevideo,Ediciones de Banda Oriental,2010,No hay datos,No hay datos
"Crane, Stephen",No hay datos,http://viaf.org/viaf/100175928,La chalupa y otros cuentos / Stephen Crane ; prólogo de Heber Raviolo,eng,Inglés,9789974106345,Montevideo,Ediciones de Banda Oriental,2010,No hay datos,No hay datos
"Ramos, Graciliano|Lopes Neto, Simões",No hay datos,http://viaf.org/viaf/66485924,"Historia de Alejandro / Graciliano Ramos. Casos de Romualdo /João Simões Lopes Neto ; traducciones de Román García Arrospide, José M. Obaldía, Heber Raviolo ; prólogo y notas Heber Raviolo",por,Portugués,9789974106671,Montevideo,Ediciones de Banda Oriental,2010,"Obaldía, José María",Se añadió dato traductor. Fuente: BN campo Título y catálogo de la Biblioteca del Poder Legislativo.
"Campos, Haroldo de",No hay datos,http://viaf.org/viaf/36915715,Galaxias = Galáxias / Haroldo de Campos ; traducción y notas de Reynaldo Jiménez ; prólogo de Roberto Echavarren,por,Portugués,9789974980716,Montevideo,La Flauta Mágica,2010,"Jiménez, Reynaldo",Obra bilingüe. Se añadió dato traductor. Fuente: BN campo Título.
"Levy, Marc",No hay datos,http://viaf.org/viaf/85453948,Las cosas que no nos dijimos / Marc Levy ; traducción de Isabel González-Gallarza,fre,Francés,9789974685192,Montevideo,Planeta,2010,"González-Gallarza, Isabel",Se añadió dato traductor. Fuente: BN campo Título.
"Katzenbach, John",No hay datos,http://viaf.org/viaf/86864908,El profesor / John Katzenbach,eng,Inglés,9789974954069,Montevideo,Suma,2010,No hay datos,No hay datos
"Saramago, José",No hay datos,http://viaf.org/viaf/114473675,La caverna / José Saramago ; traducción de Pilar del Río,por,Portugués,9789974954212,Montevideo,Punto de lectura,2010,"Del Río, Pilar",Se añadió dato traductor. Fuente: BN campo Título y catálogo de la Biblioteca del Poder Legislativo.
