aut_principal,pseudo,viaf,titulo,Lengua fuente,Lengua,ISBN,Ciudad de publicación,Ente editor,Año de publicación,Traductor/a,Observaciones
"Reis, Antonio Muller dos",Reis Netto,http://viaf.org/viaf/311452185,"Lascas de granito : homenaje de sus amigos a Reis Netto / prólogo, notas marginales y versión castellana de José Luis Panizza",por,Portugués,No hay datos,Montevideo,No hay datos,1922,"Panizza, José Luis",Se añadió dato traductor. Fuente: BN campo Título.
"Margueritte, Victor",No hay datos,http://viaf.org/viaf/7393838,Vengada : continuación de El vicio en París.,fre,Francés,No hay datos,Montevideo,Claudio García,1923,No hay datos,No hay datos
"Dantas, Julio",No hay datos,http://viaf.org/viaf/3577187,Los árboles.,por,Portugués,No hay datos,Montevideo,Talleres Gráficos Imparcial,1925,No hay datos,No hay datos
"Carbonell Debali, Arturo",No hay datos,http://viaf.org/viaf/68614242,"Lecciones de literatura moderna / traducción y adaptación de los textos de Filón, Pellisier y de Bossert.",fre,Francés,No hay datos,Montevideo,Papelería Comini,1926,No hay datos,Es manual de estudio.
"Pagnol, Marcel",No hay datos,http://viaf.org/viaf/9851452,Jazz : pieza en cuatro actos / Marcel Pagnol ; traducción de Eugenio Alsina.,fre,Francés,No hay datos,Montevideo,No hay datos,1928,"Alsina, Eugenio",Se añadió dato traductor. Fuente: BN campo Título.
"Hudson, William Henry",No hay datos,http://viaf.org/viaf/7391698,"El Ombú y otros cuentos rioplatenses, versión española por Eduardo Hillman / Henry William Hudson.",eng,Inglés,No hay datos,Montevideo,Agencia general de librería y publicaciones,1928,"Hillman, Eduardo",Se añadió dato traductor. Fuente: BN campo Título.
"Hamsun, Knut",No hay datos,http://viaf.org/viaf/59083692,Pan : novela / traducción de A. Hernández Catá.,nor,Noruego,No hay datos,Montevideo,Editorial Artigas,1920,"Hernández Catá, A.","Se rectificó lengua fuente de alemán a noruego./ Se añadió dato traductor. Fuente: BN campo Título. / Se añadió datación estimada: 1920. El año refiere a la fecha de publicación posible más temprana, ya que esta editorial al parecer publica varias obras de Hamsun comenzando ese año. Fuente: Martínez Børresen, Z. (2012). Knut Hamsun en Hispanoamérica: hacia una revaloración Literatura  mexicana, 23 (2). 
"
"Hamsun, Knut",No hay datos,http://viaf.org/viaf/59083692,Victoria (Historia de un amor) / traducción de José Liebermann.,nor,Noruego,No hay datos,Montevideo,Editorial Artigas,1920,"Liebermann, José","Se rectificó lengua fuente de alemán a noruego./ Se añadió dato traductor. Fuente: BN campo Título./ Se añadió datación estimada: 1920. El año estimado refiere a la fecha de publicación posible más temprana, ya que esta editorial al parecer publica varias obras de Hamsun comenzando ese año. Fuente: Martínez Børresen, Z. (2012). Knut Hamsun en Hispanoamérica: hacia una revaloración Literatura  mexicana, 23 (2).
"
"Dereme, Tristán",No hay datos,http://viaf.org/viaf/66478189,El verdor dorado : poemas,fre,Francés,No hay datos,Montevideo,Imprenta El Siglo Ilustrado,1930,"Collazo, Euclides","Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"
"Jonson, Ben",No hay datos,http://viaf.org/viaf/292789691,Volpone / Ben Jonson ; versión de José Pedro Blixen Ramírez.,eng,Inglés,No hay datos,Montevideo,Héctor Gandós,1930,"Blixen Ramírez, José Pedro",Fuente del dato Año no oficial./ Se añadió dato traductor. Fuente: BN campo Título.
"Costa du Rels, Adolfo",No hay datos,http://viaf.org/viaf/95174595,La quimera del oro : la novela para todos / Costa du Rels ; versión y adaptación de E. E. Potrie,fre,Francés,No hay datos,Montevideo,Talleres Gráficos Antonio Barreiro y Ramos,1930,"Potrie, Enrique E.",Se añadió dato traductor. Fuente: BN campo Título.
"Carbonell Debali, Arturo",No hay datos,http://viaf.org/viaf/68614242,Lecciones de literatura griega y latina,fre,Francés,No hay datos,Montevideo,Impresora Uruguaya,1930,"Carbonell Debali, Arturo","Es manual de estudio. / Se rectificó lengua fuente de griego a francés. / Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo (allí se aporta la información: Traducción y adaptación de los textos de Croiset y Lallier-Lantoine). / 
"
"Zweig, Stefan",No hay datos,http://viaf.org/viaf/19685936,Amok : (relato),ger,Alemán,No hay datos,Montevideo,Ariel,1931,"González Aerosa, Héctor","Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"
"Niccodemi, Darío",No hay datos,http://viaf.org/viaf/88066855,El refugio : comedia dramática en 3 actos.,ita,Italiano,No hay datos,Montevideo,Peña Hermanos,1931,No hay datos,No hay datos
"Dostoievski, Fedor Mijailovich","Dostoyevsky, Fyodor",http://viaf.org/viaf/104023256,La confesión de Stavrogin,rus,Ruso,No hay datos,Montevideo,Biblioteca Cultura,1933,"Paladino, José|Mercadal, G.","Se recuperó lengua fuente (ruso)./ Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"
"Istrati, Panait",No hay datos,http://viaf.org/viaf/73855014,Tsatsa minnka / Panait Istrati.,fre,Francés,No hay datos,Montevideo,Ediciones selectas,1935,No hay datos,No hay datos
"Malraux, André",No hay datos,http://viaf.org/viaf/51692748,El tiempo del desprecio,fre,Francés,No hay datos,Montevideo,Centro de Estudios Ariel,1935,"Laureiro, Alejandro",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Poe, Edgar Allan",No hay datos,http://viaf.org/viaf/60351476,Poemas,eng,Inglés,No hay datos,Montevideo,Claudio García,1938,No hay datos,No hay datos
"Whitman, Walt",No hay datos,http://viaf.org/viaf/2478331,Poemas.,eng,Inglés,No hay datos,Montevideo,Claudio García,1939,"Vasseur, Álvaro Armando","Se añadió datación estimada: 1939. Fuente: Alegría. F. (1954). Walt Whitman en Hispanoamérica. México D.F., Librería Studium./ Se añadió dato traductor. Fuente: ídem.  "
"Junaqueiro, Abilio Guerra",No hay datos,http://viaf.org/viaf/74145857814523020426,Los simples / E. Marquina Elogio de Los simples traducción por Nicolás Fusco Sansone.,por,Portugués,No hay datos,Montevideo,Claudio García,1920,"Fusco Sansone, Nicolás","Se añadió datación estimada: 1920. El año estimado refiere a la fecha de publicación posible más temprana, ya que existe una traducción al español publicada en España en esa fecha. Fuente: BNE./ Se añadió dato traductor. Fuente: BN campo Título. "
"Dumas, Alexandre",No hay datos,http://viaf.org/viaf/51688902,Montevideo ó Una nueva Troya / Alejandro Dumas ; traducción de Edmundo Bianchi ; prólogo por Ariosto D. González.,fre,Francés,No hay datos,Montevideo,Claudio García,1941,"Bianchi, Edmundo",Se añadió dato traductor. Fuente: BN campo Título.
Lord Byron,"Byron, George Gordon",http://viaf.org/viaf/95230688,Don Juan : poema,eng,Inglés,No hay datos,Montevideo,Claudio García,1942,"Villalva, F. ",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo
No hay datos,No hay datos,No hay datos,Esto es Rusia,rus,Ruso,No hay datos,Montevideo,Ediciones Pueblos Unidos,1943,No hay datos,Es antología./ Se recuperó lengua fuente (ruso).
"Zweig, Stefan",No hay datos,http://viaf.org/viaf/19685936,Una conciencia contra la tiranía,ger,Alemán,No hay datos,Montevideo,Elite,1944,No hay datos,No hay datos
"Shakespeare, William",No hay datos,http://viaf.org/viaf/96994048,21 Sonetos,eng,Inglés,No hay datos,Montevideo,Independencia,1944,"Dieste, Eduardo","Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"
Molière,"Poquelin, Jean-Baptiste",http://viaf.org/viaf/2474502,El avaro,fre,Francés,No hay datos,Montevideo,Claudio García,1944,No hay datos,No hay datos
"Erenburg, Ilia","Ehrenbourg, Ilya",http://viaf.org/viaf/40169930,La caída de París,rus,Ruso,No hay datos,Montevideo,Ediciones Pueblos Unidos,1944,No hay datos,"Se recuperó lengua fuente (ruso).
"
"Cowling, Ralph A.",No hay datos,No hay datos,La tempestad,eng,Inglés,No hay datos,Montevideo,Cultura,1945,No hay datos,Es manual  de estudio. 
"Ibsen, Henrik",No hay datos,http://viaf.org/viaf/71378383,"Espectros / Henrik Ibsen ; traducción Pedro Pellicena ; juicio crítico Sigurd Höst, Salvador Albert.",nor,Noruego,No hay datos,Montevideo,Claudio García,1945,"Pellicena, Pedro",Se rectificó lengua fuente de alemán a noruego./ Se añadió dato traductor. Fuente: BN campo Título.
"London, Jack","Chaney, John Griffith",http://viaf.org/viaf/46764200,El gran silencio blanco,eng,Inglés,No hay datos,Montevideo,Acción,1946,No hay datos,No hay datos
"D'annunzio, Gabriele",No hay datos,http://viaf.org/viaf/49220129,La gata.,ita,Italiano,No hay datos,Montevideo,Acción,1946,No hay datos,No hay datos
"Gorki, Máximo","Gorky, Maksim",http://viaf.org/viaf/96998392,Makar Chudra,rus ,Ruso ,No hay datos,Montevideo,Acción,1946,No hay datos,Se recuperó lengua fuente (ruso).
"Claudel, Paul",No hay datos,http://viaf.org/viaf/100163516,Jeanne d'Arc au Bûcher = Juana de Arco en la hoguera : temporada oficial 1946 /SODRE Estudio Auditorio.,fre,Francés,No hay datos,No hay datos,No hay datos,No hay datos,No hay datos,Se añadió dato autor. Fuente: Wikipedia.
"Petrarca, Francesco",No hay datos,http://viaf.org/viaf/39382430,El cancionero de Petrarca / selección y traducción de Laura Escalante.,ita,Italiano,No hay datos,Montevideo,Biblioteca del Liceo José Enrique Rodó,1946,"Escalante, Laura",Es manual de estudio./ Se añadió dato traductor. Fuente: BN campo Título.
"Bromfield, Louis",No hay datos,http://viaf.org/viaf/14766865,El páramo de los árboles verdes,eng,Inglés,No hay datos,Montevideo,Elite,1947,No hay datos,No hay datos
"Harris, Frank",No hay datos, http://viaf.org/viaf/120702927,La bomba : la confesión de un anarquista,eng,Inglés,No hay datos,Montevideo,Manuel Esteban,1947,No hay datos,No hay datos
"López, Cid Correa",No hay datos,No hay datos,Caminos del infinito : poemas.,por,Portugués,No hay datos,Montevideo,Gaceta comercial,1949,No hay datos,No hay datos
"Pichon, René",No hay datos,http://viaf.org/viaf/88050219,Historia de la literatura latina / por René Pichón ; traducción por Emilio J. Fouriné.,fre,Francés,No hay datos,Montevideo,No hay datos,1949,"Fouriné, Emilio J.",Es manual de estudio./ Se añadió dato traductor. Fuente: BN campo Título.
"Vieth von Golssenau, Arnold Friedrich",No hay datos,http://viaf.org/viaf/114129978,Antes del alba : novela / Ludwig Renn.,ger,Alemán,No hay datos,Montevideo,Biblioteca Social Internacional,1940,No hay datos,"Se añadió datación estimada: 1940. El año estimado refiere a la fecha de publicación posible más temprana. Fuente: Biblioteca de la Universidad San Martín, que señala como fecha de publicación 194-."
"Musset, Alfred de",No hay datos,http://viaf.org/viaf/54151927,Selección de poesías.,fre,Francés,No hay datos,Montevideo,La Casa del Estudiante,1950,No hay datos,Es manual de estudio y antología. 
"Relgis, Eugen",No hay datos,http://viaf.org/viaf/85178342,Romain Rolland,fre,Francés,No hay datos,Montevideo,Humanidad,1951,"Castrillejo de Miralles, Olga",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Catulo, Cayo Valerio",No hay datos,http://viaf.org/viaf/100218993,Catulo / traducción Olaf Blixen Lerena.,lat,Latín,No hay datos,Montevideo,No hay datos,1952,"Blixen Lerena, Olaf ",Se añadió dato traductor. Fuente: BN campo Título.
"Vitureira, Cipriano S.",No hay datos, http://viaf.org/viaf/49171180,"Manuel Bandeira, Cecilia Merieles, Carlos Drummond de Andrade, tres edades en la poesía brasileña actual. Estudio y antología...1.",por,Portugués,No hay datos,Montevideo,Asociación Cultural Estudiantil Brasil-Uruguay,1952,No hay datos,Es antología.
"Pereda Valdés, Ildefonso",No hay datos,http://viaf.org/viaf/111357638,Antología de la poesía negra americana,eng|fre|por,Inglés|Francés|Portugués,No hay datos,Montevideo,Organización Medina,1953,No hay datos,"Es antología./ Se recuperaron lenguas fuente (inglés, portugués, francés)./ Fuente del dato Ciudad no oficial."
"Bloch, Pedro",No hay datos,http://viaf.org/viaf/84991036,"Leonora, comedia en tres actos; traducción española de Alejandro Casona.",por,Portugués,No hay datos,Montevideo,Mensaje,1953,"Casona, Alejandro","Se añadió dato traductor. Fuente: BN campo Título y catálogo de la Biblioteca del Poder Legislativo
"
"Gulia, Georgii Dmitriivich","Gulia, Georgij Dmitrievič",http://viaf.org/viaf/93914016,Primavera en Saken (novela).,rus,Ruso,No hay datos,Montevideo,Ediciones Pueblos Unidos,1953,No hay datos,No hay datos
"Chénier, André",No hay datos,http://viaf.org/viaf/39404970,Traducciones de poesías / Andrés Chenier ; tr. de Roger D. Bassagoda.,fre,Francés,No hay datos,Montevideo,Impresora La Industria Gráfica Uruguaya,1953,"Bassagoda, Roger D.",Se añadió dato traductor. Fuente: BN campo Título.
"Croiset, Alfredo",No hay datos,http://viaf.org/viaf/795535,La Iliada.,gre,Griego,No hay datos,Montevideo,A.E.P. Oficina del Libro,1954,No hay datos,Es manual de estudio.
Eurípides,No hay datos,http://viaf.org/viaf/265326651,Hipólito.,gre,Griego,No hay datos,Montevideo,La Casa del Estudiante,1955,No hay datos,No hay datos
"Lichtenberger, Henri",No hay datos,http://viaf.org/viaf/59085582,Prólogo al Fausto.,ger,Alemán,No hay datos,Montevideo,No hay datos,1955,No hay datos,Es manual de estudio./ Fuente del dato Ciudad no oficial.
"Trifonov, I Urii Valentinovich","Trifonov, Jurij Valentinovič",http://viaf.org/viaf/640125588,Estudiantes.,rus,Ruso,No hay datos,Montevideo,Ediciones Pueblos Unidos,1955,No hay datos,Fuente del dato Año no oficial.
"Shakespeare, William",No hay datos,http://viaf.org/viaf/96994048,William Shakespeare / W. Shakespeare ; versión y notas Tabaré J. Freire.,eng,Inglés,No hay datos,Montevideo,Síntesis,1955,"Freire, Tabaré J.",Es manual de estudio./ Fuente del dato Año no oficial./ Se añadió dato traductor. Fuente: BN campo Título. 
"Medina Vidal, Jorge",No hay datos,http://viaf.org/viaf/118737075,"La poesía yámbica griega. Arquiloco e Hiponax : texto griego con traducción, introducción y notas.",gre,Griego,No hay datos,Montevideo,Universidad de la República. Facultad de Humanidades y Ciencias,1956,"Medina Vidal, Jorge",Es manual de estudio./ Se añadió dato traductor. Fuente: BN campo Título.
"Priestley, John Boynton",No hay datos,http://viaf.org/viaf/71396497,Deleite,eng,Inglés,No hay datos,Montevideo,Librería Hachette,1957,No hay datos,No hay datos
"Fedin, Konstantin Aleksandrovich","Fadeev, Aleksandr Aleksandrovič",http://viaf.org/viaf/66466946,Primeras alegrías.,rus,Ruso,No hay datos,Montevideo,Ediciones Pueblos Unidos,1957,No hay datos,Fuente del dato Año no oficial.
"Machado, Octavio L. Werneck",No hay datos,No hay datos,La propina y otros cuentos.,por,Portugués,No hay datos,Montevideo,Talleres Gráficos Gaceta Comercial,1957,"Mari, Lida|De Werneck Machado, Alicia M.|Diez, Blancha","Es antología./ Se añadió dato traductor. Fuente: catálogo de otras bibliotecas (Library of Congress).
"
"Catulo, Cayo Valerio",No hay datos,http://viaf.org/viaf/1002189933,El poema LXVI de Catulo : la Trenza de Berenica / traducción y comentarios Olaf Blixen.,lat,Latín,No hay datos,Montevideo,Universidad de la República. Facultad de Humanidades y Ciencias,1958,"Blixen Lerena, Olaf","Es manual de estudio./ Se añadió dato traductor. Fuente: BN campo Título y Valor. 
"
"Chao, Shu-li",No hay datos,http://viaf.org/viaf/27075350,Coplas de Li-Yu-Tsai y otros relatos.,chi,Chino,No hay datos,Montevideo,Ediciones Pueblos Unidos,1958,No hay datos,"Se recuperó lengua fuente (chino)./ Fuente del dato Año no oficial.
"
"Pichon, René",No hay datos,http://viaf.org/viaf/88050219,Información general de la literatura latina.,fre,Francés,No hay datos,Montevideo,La Casa del Estudiante,1958,No hay datos,Es manual de estudio./ Se rectificó lengua fuente de latín a francés./ Fuente del dato Año no oficial.
"Medina Vidal, Jorge",No hay datos,http://viaf.org/viaf/118737075,Dos epitalamios bizantinos.,gre,Griego,No hay datos,Montevideo,Universidad de la República. Facultad de Humanidades y Ciencias,1959,"Medina Vidal, Jorge",Es manual de estudio./ Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Moore, Pamela",No hay datos,http://viaf.org/viaf/32124585,Chocolate al desayuno.,eng,Inglés,No hay datos,Montevideo,Géminis,1956,No hay datos,"Se añadió datación estimada: 1956, principio del período en que presumiblemente se publicó (1956-1959)./ Fuente del dato Año no oficial."
"Figueira, Gastón",No hay datos,http://viaf.org/viaf/26033045,Poesía estadounidense contemporánea (Estudio y antología).,eng,Inglés,No hay datos,Montevideo,Continente,1960,"Figueira, Gastón",Es antología./ Fuente del dato Año no oficial./ Se añadió dato traductor. Fuente: catálogo de Biblioteca Pedagógica Central (Uruguay).
"Makarenko, Anton Semenovich",No hay datos,http://viaf.org/viaf/44302134,"Acerca de la literatura ; artículos, discursos, cartas.",rus,Ruso,No hay datos,Montevideo,Ediciones Pueblos Unidos,1960,No hay datos,Fuente del dato Año no oficial.
"Ferreira, João Francisco",No hay datos,http://viaf.org/viaf/70418967,La novela brasileña y la obra de Otávio de Faria,por,Portugués,No hay datos,Montevideo,Instituto de Estudios Superiores de Montevideo,1960,"Rela, Walter",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Munier, Roger",No hay datos,http://viaf.org/viaf/111802534,Contra la imagen : ensayo,fre,Francés,No hay datos,Montevideo,Alfa,1961,"Aguirre, Raúl Gustavo",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
Sófocles,No hay datos,http://viaf.org/viaf/101760867,Edipo - Tirano ; Antigona,gre,Griego,No hay datos,Montevideo,Síntesis,1961,No hay datos,No hay datos
"Valéry, Paul",No hay datos,http://viaf.org/viaf/61553403,El cementerio marino,fre,Francés,No hay datos,Montevideo,Estuario,1962,"Vidal, Américo",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Bonada Amigó, Roberto",No hay datos,No hay datos,"Goethe. Fausto, estudio y análisis. Lírica, estudio y antología.",ger,Alemán,No hay datos,Montevideo,Librería Técnica,1963,No hay datos,Es manual de estudio y antología.
"Lilli, Furio",No hay datos,http://viaf.org/viaf/89157398,Poetas y poesías del crepúsculo,ita,Italiano,No hay datos,Montevideo,Instituto Italiano Di Cultura,1963,No hay datos,No hay datos
"Croiset, Maurice",No hay datos,http://viaf.org/viaf/41856962,"Esquilo : estudios sobre la invención dramática en su teatro : (Agamenón, Coéforas, Euménides)",fre,Francés,No hay datos,Florida,Estudios,1963,"Varela, Servando",Se rectificó lengua fuente de griego a francés. Sería una traducción indirecta./Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
Esquilo,No hay datos,http://viaf.org/viaf/268526195,Prometeo encadenado : Agamenón,gre,Griego,No hay datos,Montevideo,Síntesis,1963,"Freire, Tabaré J.",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
Esquilo,No hay datos,http://viaf.org/viaf/268526195,Prometeo encadenado,gre,Griego,No hay datos,Montevideo,Elite,1963,"Brieva Salvatierra, Fernando Segundo",Se añadió dato traductor. Fuente: catálogo Biblioteca Prof. Dr. Antonio M. Grompone (Uruguay).
"Vitureira, Cipriano Santiago",No hay datos,http://viaf.org/viaf/49171180,La poesía de Jorge de Lima : estudio y antología,por,Portugués,No hay datos,Montevideo,Amizade,1963,"Vitureira, Cipriano Santiago",Es antología./ Se añadió dato traductor. Fuente: consulta de ejemplar digitalizado en Google Books.
Seneca,No hay datos,http://viaf.org/viaf/90637919,Los siete libros.,lat,Latín,No hay datos,Montevideo,Ministerio de Instrucción Pública y Previsión Social,1964,"Fernández Navarrete, Pedro",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Castillo, Guido",No hay datos,http://viaf.org/viaf/87882575,Fausto.,ger,Alemán,No hay datos,Montevideo,La Casa del Estudiante,1965,No hay datos,Es manual de estudio.
"Hudson, William Henry",No hay datos,http://viaf.org/viaf/7391698,La tierra purpúrea.,eng,Inglés,No hay datos,Montevideo,Ministerio de Instrucción Pública y Previsión Social,1965,"Hillman, Eduardo",Se añadió dato traductor: Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Vitureira, Cipriano Santiago",No hay datos,http://viaf.org/viaf/49171180,La poesía de Cecilia Meireles : estudio y antología,por,Portugués,No hay datos,Montevideo,Instituto de Cultura Uruguayo-Brasileño,1965,"Vitureira, Cipriano Santiago",Es antología./ Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Jones, Leroy",No hay datos,http://viaf.org/viaf/6031,El sistema del Infierno de Dante,eng,Inglés,No hay datos,Montevideo,Alfa,1965,"Lutzheim, Esteban",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Tahan, Malba","Souza, Júlio César de Mello e",http://viaf.org/viaf/117448127,"El hombre que calculaba : romance : aventuras de un singular calculista persa / Malba Tahan [i.e. Julio César de Mello e Souza] : traducción, notas y apéndice sobre curiosidades matemáticas de Mario Coppetti.",por,Portugués,No hay datos,Montevideo,No hay datos,1960,"Coppetti, Mario","Publicación no datada, seguramente entre 1960-1969./ Fuente del dato Ciudad no oficial./ Se añadió dato traductor. Fuente: BN campo Título."
"Apitz, Bruno",No hay datos,http://viaf.org/viaf/129620,"Desnudo entre lobos, novela / traducción directa del alemán Ernesto Kroch ; revisión literaria Jesualdo.",ger,Alemán,No hay datos,Montevideo,Tecniciencia,1966,"Kroch, Ernesto",Fuente del dato Ciudad no oficial./ Se añadió dato traductor. Fuente: BN campo “Título”.
"Rodríguez, Romero Jorge",No hay datos,http://viaf.org/viaf/54484331,"La Ilíada : cantos I, VI, IX, XXII y XXIV.",gre,Griego,No hay datos,Florida,Ediciones de la Revista Letras,1966,No hay datos,Fuente del dato Año no oficial.
"Dias, Antonio Goncalves ",No hay datos,http://viaf.org/viaf/73988798,Antología Poética,por,Portugués,No hay datos,Montevideo,Instituto de Cultura Uruguaio-Brasileiro,1967,No hay datos,No hay datos
"Bonetti, Umberto",No hay datos,No hay datos,Alberta tú y yo : Poesía,ita,Italiano,No hay datos,Montevideo,Alfa,1968,No hay datos,Se añadió dato traductor: Fuente: catálogo de la Biblioteca del Colegio Seminario (Uruguay)
"Alves, Antonio De Castro",No hay datos,http://viaf.org/viaf/32032359,Antología Poética,por,Portugués,No hay datos,Montevideo,Instituto de Cultura Uruguaio-Brasileiro,1968,No hay datos,Es antología.
"Baudelaire, Charles",No hay datos,http://viaf.org/viaf/17218730,Poesía y prosa,fre,Francés,No hay datos,Montevideo,Letras,1968,No hay datos,Fuente del dato Ciudad no oficial.
"Mao, Tse-Tung","Mao, Zedong",http://viaf.org/viaf/51699962,Mao Tse-Tung sobre la literatura y el arte,chi,Chino,No hay datos,Montevideo,Nativa,1968,No hay datos,Se recuperó lengua fuente (chino).
"Hudson, William Henry",No hay datos,http://viaf.org/viaf/7391698,El ombú y otros cuentos.,eng,Inglés,No hay datos,Montevideo,Arca,1969,"Boero, Raúl",Fuente del dato Año no oficial./ Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Lombardi, Germano",No hay datos,http://viaf.org/viaf/27084965,Barcelona : novela.,ita,Italiano,No hay datos,Montevideo,Alfa,1969,No hay datos,No hay datos
"Poe, Edgar Allan",No hay datos,http://viaf.org/viaf/60351476,Poesía y prosa.,eng,Inglés,No hay datos,Montevideo,Letras,1969,No hay datos,Fuente del dato Año no oficial./ Fuente del dato Ciudad no oficial.
"Figueira, Gastón",No hay datos,http://viaf.org/viaf/26033045,Poesía brasileña contemporánea (1920-68) : crítica y antología,por,Portugués,No hay datos,Montevideo,Instituto de Cultura Uruguayo-Brasileño,1969,"Figueira, Gastón",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Shakespeare, William",No hay datos,http://viaf.org/viaf/96994048,Hamlet,eng,Inglés,No hay datos,Montevideo,Centro Editor de América Latina,1969,"Astrana Marín, Luis",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Lautréamont, comte de",No hay datos,http://viaf.org/viaf/6065,Los cantos de Maldoror / Lautréamont ; selección y traducción de Gabriel Saad,fre,Francés,No hay datos,Montevideo,Centro Editor de América Latina,1969,"Saad, Gabriel",Se añadió dato traductor. Fuente: BN campo Título.
"Depestre, Rene",No hay datos,http://viaf.org/viaf/94345085,"Por la revolución, por la poesía",fre,Francés,No hay datos,Montevideo,Biblioteca de Marcha,1970,No hay datos,No hay datos
"Lowry, Malcolm",No hay datos,http://viaf.org/viaf/68932216,Lunar caustic : novela,eng,Inglés,No hay datos,Montevideo,Alfa,1970,"Lorente, R. E.","Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"
"Miller, Henry",No hay datos,http://viaf.org/viaf/59086729,Días tranquilos en Clichy.,eng,Inglés,No hay datos,Montevideo,Alfa,1971,"Laborde, Fred",Fuente del dato Año no oficial./ Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Shakespeare, William",No hay datos,http://viaf.org/viaf/96994048,La tragedia de Macbeth / versión y notas de Tabaré J. Freire.,eng,Inglés,No hay datos,Montevideo,Síntesis,1971,"Freire, Tabaré J.",Fuente del dato Año no oficial./ Se añadió dato traductor. Fuente: BN campo Título.
"Bonnes, Carlos",No hay datos,No hay datos,El dolce stil novo : ensayo crítico / trad. Roberto de Espada Vicente.,ita,Italiano,No hay datos,Montevideo,Fundación de Cultura Universitaria,1971,"De Espada Vicente, Roberto",Se añadió dato traductor. Fuente: BN campo Título.
"Balzac, Honoré de",No hay datos,http://viaf.org/viaf/29529595,La búsqueda de lo absoluto / trad. de Alfredo Adler ; prólogo por Jorge Ruffinelli.,fre,Francés,No hay datos,Montevideo,Doe,1971,"Adler, Alfredo",Fuente del dato Año no oficial./ Fuente del dato Ciudad no oficial./ Se añadió dato traductor. Fuente: BN campo Título.
"Troyat, Henri",No hay datos,http://viaf.org/viaf/14777553,León Tostoi : vida y obra,fre,Francés,No hay datos,Montevideo,La Casa del Estudiante,1971,No hay datos,Se recuperó lengua fuente (francés).
Sófocles,No hay datos,http://viaf.org/viaf/101760867,Edipo-tirano ; Antígona,gre,Griego,No hay datos,Montevideo,Síntesis,1971,"Freire, Tabaré J.",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Navarre, Octave",No hay datos,http://viaf.org/viaf/56676286,Las representaciones dramáticas en Grecia.,fre,Francés,No hay datos,Montevideo,La Casa del Estudiante,1971,No hay datos,Es manual de estudio. Se revisó manualmente para verificar que contuviera traducción.
"Goethe, Johann Wolfgang",No hay datos,http://viaf.org/viaf/24602065,"Fausto, 1a parte.",ger,Alemán,No hay datos,Montevideo,Ediciones de Banda Oriental,1972,"Galmés, Héctor",Fuente del dato Año no oficial./ Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
"Bens, Heriberto","Méndez Ferrín, Xosé Luis",http://viaf.org/viaf/76335840,Antoloxia popular,glg,Gallego,No hay datos,Montevideo,Patronato Da Cultura Galega,1972,No hay datos,Es antología./ Se rectificó lengua fuente de portugués a gallego.
"Balzac, Honoré de",No hay datos,http://viaf.org/viaf/29529595,Prólogo de la Comedia humana.,fre,Francés,No hay datos,Montevideo,No hay datos,1973,No hay datos,Fuente del dato Año no oficial./ Fuente del dato Ciudad no oficial.
Molière,"Poquelin, Jean-Baptiste",http://viaf.org/viaf/2474502,El misántropo,fre,Francés,No hay datos,Montevideo,Instituto Uruguayo de Estudios Preuniversitarios,1973,"Plaza Noblía, Héctor",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo.
